ID,Title,Keywords,Article type,Issue type,Volume,Issue,Authors,Author institutions,Author cities,Author countries,Jucs level 1 topics,Jucs level 2 topics,Jucs level 3 topics
018-02-0177,Generic Temporal and Fuzzy Ontological Framework (GTFOF) for Developing Temporal-Fuzzy Database Model for Managing Patient's Data,"['temporal and fuzzy ontological framework', 'knowledge management systems', 'healthcare systems', 'patient information system', 'temporal and fuzzy database system']",Research Article,special,18.0,2.0,"['Nadeem Mahmood', 'S. M. Aqil Burney', 'Kamran Ahsan']","['University of Karachi', 'University of Karachi', 'Staffordshire University']","['Karachi', 'Karachi', 'Stafford']","['Pakistan', 'Pakistan', 'United Kingdom']",['computing methodologies'],['artificial intelligence'],['knowledge representation formalisms and methods']
018-02-0194,MaF: An Ontology Matching Framework,"['ontology matching', 'knowledge integration', 'software tools']",Research Article,regular,18.0,2.0,"['Jorge Martinez-Gil', 'Ismael Navas-Delgado', 'Jose F. Aldana-Montes']","['University of Málaga', 'University of Málaga', 'University of Málaga']","['Málaga', 'Málaga', 'Málaga']","['Spain', 'Spain', 'Spain']",['knowledge management '],"['knowledge engineering methodologies', 'knowledge maintenance']",[]
018-02-0218,Performance Evaluation of Recent Windows Operating Systems,"['benchmark', 'operating system', 'performance evaluation', 'performance measurement', 'Windows 7', 'Windows Vista', 'Windows XP']",Research Article,regular,18.0,2.0,"['Goran Martinovic', 'Josip Balen', 'Bojan Cukic']","['Josip Juraj Strossmayer University of Osijek', 'Josip Juraj Strossmayer University of Osijek', 'West Virginia University']","['Osijek', 'Osijek', 'Morgantown']","['Croatia', 'Croatia', 'USA']","['software', 'computing milieux']","['operating systems', 'management of computing and information systems']","['installation management', 'performance']"
018-02-0264,Reconfigurable VBSME Architecture Using RBSAD,"['video', 'high-speed arithmetics', 'parallel architectures', 'special-purpose and application-based systems']",Research Article,regular,18.0,2.0,['Joaquin Olivares'],['University of Cordoba'],['Cordoba'],['Spain'],"['information systems', 'computer systems organization', 'hardware']","['processor architectures', 'arithmetic and logic structures', 'information interfaces and presentation (e.g., hci)', 'special-purpose and application-based systems']","['multimedia information systems', 'high-speed arithmetic', 'parallel architectures']"
018-02-0286,RESTifying a Legacy Semantic Search System: Experience and Lessons Learned,"['C.2.4', 'H.3.3', 'K.3.1']",Research Article,regular,18.0,2.0,"['Guillermo Vega-Gorgojo', 'Eduardo Gómez-Sánchez', 'Miguel L. Bote-Lorenzo', 'Juan I. Asensio-Pérez']","['University of Valladolid', 'University of Valladolid', 'University of Valladolid', 'University of Valladolid']","['Valladolid', 'Valladolid', 'Valladolid']","['Spain', 'Spain', 'Spain', 'Spain']",[],[],[]
018-03-0312,Rethinking Education in the Knowledge Society,[],Editorial,special,18.0,3.0,"['Lorenzo Cantoni', 'Isabella Rega']","['Università della Svizzera italiana', 'Università della Svizzera italiana']","['Lugano', 'Lugano']","['Switzerland', 'Switzerland']",[],[],[]
018-03-0314,Computer Generated Voice-Over in a Medical E-Learning Application: The Impact on Factual Learning Outcome,"['text-to-speech', 'TTS', 'e-learning', 'modality effect', 'split attention']",Research Article,special,18.0,3.0,"['Stefan Minder', 'Michele Notari', 'Felix Schmitz', 'Rainer Hofer', 'Ulrich Woermann']","['University of Bern', 'University of Bern', 'University of Bern', 'University of Bern', 'University of Bern']","['Bern', 'Bern', 'Bern', 'Bern', 'Bern']","['Switzerland', 'Switzerland', 'Switzerland', 'Switzerland', 'Switzerland']","['information systems', 'computing milieux']","['computers and education', 'information interfaces and presentation (e.g., hci)']","['user interfaces', 'multimedia information systems', 'hypertext/hypermedia', 'computer uses in education']"
018-03-0327,Co-Designing Collaborative Smart Classroom Curriculum for Secondary School Science,"['future classrooms', 'science education']",Research Article,special,18.0,3.0,"['Mike Tissenbaum', 'Michelle Lui', 'James D. Slotta']","['Ontario Institute for Studies in Education', 'Ontario Institute for Studies in Education', 'Ontario Institute for Studies in Education']","['Toronto', 'Toronto', 'Toronto']","['Canada', 'Canada', 'Canada']",['science and technology of learning'],"['society/community ', 'learning', 'knowledge and media', 'methodology/tools/technology']","['innovation ', ' knowledge construction/representation', 'technology enhanced learning ', 'elearning systems/technology/tools/platforms  ', 'collaboration ']"
018-03-0353,Boys are like Girls: Insights in the Gender Digital Divide in Higher Education in Switzerland and Europe,"['gender', 'digital divide', 'college', 'Switzerland']",Research Article,special,18.0,3.0,"['Luca Botturi', 'Chiara Bramani', 'Sean McCusker']","['University of Applied Sciences of Southern Switzerland', 'University of Lugano', 'Durham University']","['Locarno', 'Lugano', 'Durham']","['Switzerland', 'Switzerland', 'United Kingdom']","['science and technology of learning', 'computing milieux']","['computers and society', 'the computing profession', 'methodology/tools/technology']","['general', 'learning preferences ', 'training needs analysis ', 'social issues']"
018-03-0377,University Students and Social Media: Reflections from an Empirical Research,"['social networks', 'Web 2.0', 'digital natives', 'personal learning environments']",Research Article,special,18.0,3.0,"['Paolo Ferri', 'Andrea Pozzali']","['University of Milan', 'University of Milan']","['Milan', 'Rome']","['Italy', 'Italy']","['science and technology of learning', 'general literature']","['general', 'methodology/tools/technology', 'introductory and survey']","['online education ', 'technology enhanced learning ']"
018-03-0393,Pedagogical Design of an eTandem Chinese-French Writing Course,"['foreign language teaching and learning', 'tandem language learning', 'telecollaboration', 'intercultural competence', 'peer-to-peer correction', 'tutoring', 'design-based research']",Research Article,special,18.0,3.0,"['Jue Wang', 'Claudia Berger', 'Nicolas Szilas']","['University of Geneva', 'University of Geneva', 'University of Geneva']","['Genève', 'Genève', 'Genève']","['Switzerland', 'Switzerland', 'Switzerland']",['science and technology of learning'],"['society/community ', 'methodology/tools/technology']","['online education ', 'collaboration ', 'technology enhanced learning ']"
018-03-0410,Measuring Primary Schools Teachers' Perception of ICT through Self-Efficacy: A Case Study,"['ICT', 'teacher training', 'self-efficacy', 'quantitative methods', 'qualitative methods', 'disadvantaged contexts', 'ICT4E']",Research Article,special,18.0,3.0,"['Isabella Rega', 'Francesca Fanni']","['Università della Svizzera italiana', 'Università della Svizzera italiana']","['Lugano', 'Lugano']","['Switzerland', 'Switzerland']",['science and technology of learning'],"['assesment/evaluation/meaurement', 'methodology/tools/technology']","['learning processes ', 'training needs analysis ', 'technology enhanced learning ', 'elearning systems/technology/tools/platforms  ', 'assessment and evaluation']"
018-03-0429,AT-HOME 2.0 - An Educational Framework for Home-based Healthcare,"['home-based healthcare', 'informal learning', 'digital technologies', 'socio-cultural dynamics']",Research Article,special,18.0,3.0,"['Izak van Zyl', 'Retha de la Harpe']","['Università della svizzera italiana', 'Cape Peninsula University of Technology']","['Lugano', 'Cape Town']","['Switzerland', 'South Africa']",['science and technology of learning'],"['society/community ', 'learning', 'methodology/tools/technology']","['individualised learning solution ', 'learning networks ', 'technology enhanced learning ', 'elearning systems/technology/tools/platforms  ', 'collaboration ']"
018-04-0454,Advances on Social Network Applications,[],Editorial,special,18.0,4.0,"['Jason J. Jung', 'Przemysław Kazienko']","['Yeungnam University', 'Wrocław University of Technology']","['Gyeongsan', 'Wrocław']","['Korea', 'Poland']",[],[],[]
018-04-0457,Fuzziness and Overlapping Communities in Large-Scale Networks,"['fuzzy community detection', 'overlapping community detection', 'community detection', 'modularity', 'large-scale networks']",Research Article,special,18.0,4.0,"['Qinna Wang', 'Eric Fleury']","['Université de Lyon', 'Université de Lyon']","['Lyon', 'Lyon']","['France', 'France']",['science and technology of learning'],"['society/community ', 'methodology/tools/technology']",[]
018-04-0487,Uncovering the Social Dynamics of Online Elections,"['social voter', 'social network analysis', 'logistic regression', 'social influence', 'election analysis']",Research Article,special,18.0,4.0,"['John Boaz Lee', 'Gerard Cabunducan', 'Francis George C. Cabarle', 'Raphael Castillo', 'Jasmine A. Malinao']","['University of the Philippines', 'University of the Philippines', 'University of the Philippines', 'University of the Philippines', 'University of the Philippines']","['Quezon City', 'Quezon City', 'Quezon City', 'Quezon City', 'Quezon City']","['Philippines', 'Philippines', 'Philippines', 'Philippines', 'Philippines']","['information systems', 'knowledge management ', 'computer applications']","['knowledge retrieval', 'social and behavioral sciences', 'information storage and retrieval', 'administrative data processing']",['general']
018-04-0507,The Unification and Assessment of Multi-Objective Clustering Results of Categorical Datasets with H-Confidence Metric,"['multi-objective clustering', 'NSGA-II', 'h-confidence']",Research Article,special,18.0,4.0,"['Onur C. Sert', 'Kayhan Dursun', 'Tansel Özyer', 'Jamal Jida', 'Reda Alhajj']","['TOBB Economics and Technology University', 'TOBB Economics and Technology University', 'TOBB Economics and Technology University', 'Lebanese University', 'University of Calgary']","['Ankara', 'Ankara', 'Ankara', 'Tripoli', 'Calgary']","['Turkey', 'Turkey', 'Turkey', 'Lebanon', 'Canada']","['computer applications', 'computing methodologies']","['social and behavioral sciences', 'pattern recognition']","['models', 'clustering', 'implementation', 'applications']"
018-04-0532,Social Network Based Reputation Computation and Document Classification,"['social network', 'reputation management', 'community analysis', 'computer security']",Research Article,special,18.0,4.0,"['Joo Young Lee', 'Yue Duan', 'Jae C. Oh', 'Wenliang Du', 'Howard Blair', 'Lusha Wang', 'Xing Jin']","['Syracuse University', 'Syracuse University', 'Syracuse University', 'Syracuse University', 'Syracuse University', 'Syracuse University', 'Syracuse University']","['Syracuse', 'Syracuse', 'Syracuse', 'Syracuse', 'Syracuse', 'Syracuse', 'Syracuse']","['USA', 'USA', 'USA', 'USA', 'USA', 'USA', 'USA']",['information systems'],"['information storage and retrieval', 'information interfaces and presentation (e.g., hci)', 'database management']","['hypertext/hypermedia', 'digital libraries']"
018-04-0554,Understanding Microblog Users for Social Recommendation Based on Social Networks Analysis,"['social networks analysis', 'social recommendation system', 'microblogs', 'target marketing']",Research Article,special,18.0,4.0,"['I-Hsing Ting', 'Pei Shan Chang', 'Shyue-Liang Wang']","['National University of Kaohsiung', 'National University of Kaohsiung', 'National University of Kaohsiung']","['Kaohsiung', 'Kaohsiung', 'Kaohsiung']","['Taiwan', 'Taiwan', 'Taiwan']",['information systems'],['information storage and retrieval'],['online information services']
018-04-0577,Key Person Analysis in Social Communities within the Blogosphere,"['social network', 'social network analysis', 'SNA', 'social community extraction', 'social group', 'persistent group', 'stable social group', 'key person', 'role identification', 'blogosphere', 'CPM', 'fast modularity optimization', 'node position']",Research Article,special,18.0,4.0,"['Anna Zygmunt', 'Piotr Bródka', 'Przemysław Kazienko', 'Jarosław Koźlak']","['AGH University of Science and Technology', 'Wrocław University of Technology', 'Wrocław University of Technology', 'AGH University of Science and Technology']","['Kraków', 'Wrocław', 'Wrocław', 'Kraków']","['Poland', 'Poland', 'Poland', 'Poland']","['computer applications', 'information systems', 'theory of computation', 'computing methodologies', 'computing milieux', 'knowledge management ', 'science and technology of learning', 'data', 'mathematics of computing']","['computers and society', 'knowledge acquisition', 'document and text processing', 'society/community ', 'miscellaneous ', 'information systems applications', 'analysis of algorithms and problem complexity', 'social and behavioral sciences', 'pattern recognition', 'information storage and retrieval', 'discrete mathematics']","['communications applications', 'models', 'clustering', 'electronic publishing', 'document capture', 'social issues', 'miscellaneous ', 'content analysis and indexing', 'applications', 'online information services', 'collaboration ', 'graph theory', 'virtual community ']"
018-05-0598,Managing Editor's Column,[],Editorial,regular,18.0,5.0,['Christian Gütl'],['Graz University of Technology'],['Graz'],['Austria'],[],[],[]
018-05-0599,Decision Strategies for a P2P Computing System,"['computing systems', 'P2P', 'unicast', 'anycast', 'networks', 'simulation']",Research Article,regular,18.0,5.0,"['Grzegorz Chmaj', 'Krzysztof Walkowiak']","['Wrocław University of Technology', 'Wrocław University of Technology']","['Wrocław', 'Wrocław']","['Poland', 'Poland']",['computer systems organization'],['computer-communication networks'],"['network architecture and design', 'distributed systems', 'network operations']"
018-05-0623,Improving the Extraction of Text in PDFs by Simulating the Human Reading Order,"['PDF', 'text preprocessing', 'text extraction', 'ordered text extraction', 'text mining', 'evaluation']",Research Article,regular,18.0,5.0,"['Ismael Hasan', 'Javier Parapar', 'Álvaro Barreiro']","['University of a Coruña', 'University of a Coruña', 'University of a Coruña']","['Coruña', 'Coruña', 'Coruña']","['Spain', 'Spain', 'Spain']","['computer applications', 'computing methodologies']","['administrative data processing', 'document and text processing']","['electronic publishing', 'document capture']"
018-05-0650,Wikipedia-Based Semantic Interpreter Using Approximate Top-k Processing and Its Application,"['Wikipedia', 'concept', 'semantic interpretation']",Research Article,regular,18.0,5.0,"['Jong Wook Kim', 'Ashwin Kashyap', 'Sandilya Bhamidipati']","['Teradata Corporation', 'Technicolor', 'Technicolor']","['El Segundo', 'Palo Alto', 'Palo Alto']","['USA', 'USA', 'USA']","['information systems', 'knowledge management ']","['knowledge modeling', 'information storage and retrieval']","['content analysis and indexing', 'information search and retrieval']"
018-05-0676,Modeling and Performance Evaluation of a Contract-based Electronic Signature Process,"['web service access control', 'electronic exchanges', 'modeling', 'evaluation and simulation', 'dimensioning and improvement', 'Petri nets and (max', ' +)-algebra']",Research Article,regular,18.0,5.0,"['Ahmed Nait-Sidi-Moh', 'Mohamed Bakhouya', 'Wafaa Ait-Cheik-Bihi', 'Jaafar Gaber']","['Université de Picardie Jules Verne', 'Aalto University', 'Université de Strasbourg', 'Université de Technologie de Belfort Montbéliard']","['Saint Quentin', 'Helsinki', 'Strasbourg', 'Belfort']","['France', 'Finland', 'France', 'France']","['information systems', 'mathematics of computing', 'theory of computation', 'data']","['mathematical logic and formal languages', 'numerical analysis', 'information systems applications', 'data encryption', 'information interfaces and presentation (e.g., hci)', 'discrete mathematics']","['multimedia information systems', 'general', 'formal languages', 'combinatorics', 'numerical linear algebra']"
018-05-0704,Applying a Modular Framework to Develop Mobile Applications and Services,"['mobile computing', 'mobile information systems', 'software', 'mobile devices', 'multimedia']",Research Article,regular,18.0,5.0,"['Mabel Vazquez-Briseno', 'Pierre Vincent', 'Juan Ivan Nieto-Hipolito', 'Juan de Dios Sanchez-Lopez']","['UABC', 'MobKit', 'UABC', 'UABC']","['Ensenada', 'Lille', 'Ensenada', 'Ensenada']","['Mexico', 'France', 'Mexico', 'Mexico']","['information systems', 'software']","['software engineering', 'information systems applications', 'information storage and retrieval', 'information interfaces and presentation (e.g., hci)']","['systems and software', 'software architectures', 'communications applications', 'multimedia information systems']"
018-06-0728,Security in Information Systems: New Challenges and Opportunities,[],Editorial,special,18.0,6.0,"['David G. Rosado', 'Luis Enrique Sánchez', 'Eduardo Fernández-Medina', 'Jan Jürjens']","['University of Castilla-La Mancha', 'Sicaman-NT', 'niversity of Castilla-La Mancha', 'Technical University of Dortmund']","['Ciudad Real', 'Ciudad Real', 'Dortmund']","['Spain', 'Spain', 'Spain', 'Germany']",[],[],[]
018-06-0732,Success Rate of Remote Code Execution Attacks - Expert Assessments and Observations,"['cyber security', 'remote code execution', 'software vulnerabilities']",Research Article,special,18.0,6.0,"['Hannes Holm', 'Teodor Sommestad', 'Ulrik Franke', 'Mathias Ekstedt']","['Royal Institute of Technology', 'Royal Institute of Technology', 'Royal Institute of Technology', 'Royal Institute of Technology']","['Stockholm', 'Stockholm', 'Stockholm', 'Stockholm']","['Sweden', 'Sweden', 'Sweden', 'Sweden']","['software', 'computing milieux']","['software engineering', 'management of computing and information systems']","['software management', 'management', 'security and protection']"
018-06-0750,Combating Mobile Spam through Botnet Detection using Artificial Immune Systems,"['Botnet', 'mobile', 'malware', 'computational intelligence', 'artificial immune system']",Research Article,special,18.0,6.0,"['Ickin Vural', 'Hein S. Venter']","['University of Pretoria', 'University of Pretoria']","['Pretoria', 'Pretoria']","['Republic of South Africa', 'Republic of South Africa']",['computer applications'],['general'],[]
018-06-0775,Qos-Security Metrics Based on ITIL and COBIT Standard for Measurement Web Services,"['quality of service', 'ITIL', 'COBIT', 'security metrics and measurement', 'security for web service']",Research Article,special,18.0,6.0,"['Pattama Charuenporn', 'Sarun Intakosum']","[""King Mongkut's Institute of Technology Ladkrabang"", ""King Mongkut's Institute of Technology Ladkrabang""]","['Bangkok', 'Bangkok']","['Thailand', 'Thailand']",['software'],['software engineering'],"['software/program verification', 'miscellaneous ', 'metrics']"
018-06-0798,A Systematic Review of Information Security Governance Frameworks in the Cloud Computing Environment,"['information security governance', 'cloud computing', 'systematic literature review']",Research Article,special,18.0,6.0,"['Oscar Rebollo', 'Daniel Mellado', 'Eduardo Fernández-Medina']","['Ministry of Labour and Immigration', 'University of Castilla-La Mancha', 'University of Castilla-La Mancha']","['Madrid', 'Ciudad Real', 'Ciudad Real']","['Spain', 'Spain', 'Spain']","['computer systems organization', 'computing milieux']","['computer-communication networks', 'management of computing and information systems']","['security and protection', 'distributed systems']"
018-06-0816,Syntactic and Semantic Extensions to Secure Tropos to Support Security Risk Management,"['risk management', 'information system', 'security', 'secure tropos', 'syntax and semantics of modelling language']",Research Article,special,18.0,6.0,"['Raimundas Matulevičius', 'Haralambos Mouratidis', 'Nicolas Mayer', 'Eric Dubois', 'Patrick Heymans']","['University of Tartu', 'University of East London', 'CRP Henri Tudor', 'CRP Henri Tudor', 'University of Namur']","['Tartu', 'London', 'Luxembourg', 'Luxembourg', 'Namur']","['Estonia', 'United Kingdom', 'Luxembourg', 'Luxembourg', 'Belgium']","['information systems', 'software', 'computer applications']","['computer-aided engineering', 'software engineering', 'information systems applications', 'models and principles']","['types of systems', 'requirements/specifications', 'design tools and techniques']"
018-06-0845,A Framework for the Comparison of Best Practice Recommendations and Legal Requirements for South African Banks,"['information security awareness', 'online banking', 'home users', 'legislation', 'best practice', 'South Africa']",Research Article,special,18.0,6.0,"['Carla-Lee Botha', 'Elmarie Kritzinger', 'Marianne Loock']","['University of South Africa', 'University of South Africa', 'University of South Africa']","['Pretoria', 'Pretoria', 'Pretoria']","['South Africa', 'South Africa', 'South Africa']","['information systems', 'computing milieux']","['computers and education', 'information storage and retrieval', 'management of computing and information systems']","['security and protection', 'computer and information science education', 'online information services']"
